molecule,Compound,#stars,#amine,#amidine,#acid,#amide,#rotor,#rtvFG,CNS,mol_MW,dipole,SASA,FOSA,FISA,PISA,WPSA,volume,donorHB,accptHB,dip^2/V,ACxDN^.5/SA,glob,QPpolrz,QPlogPC16,QPlogPoct,QPlogPw,QPlogPo/w,QPlogS,CIQPlogS,QPlogHERG,QPPCaco,QPlogBB,QPPMDCK,QPlogKp,IP(eV),EA(eV),#metab,QPlogKhsa,HumanOralAbsorption,PercentHumanOralAbsorption,SAfluorine,SAamideO,PSA,#NandO,RuleOfFive,#ringatoms,#in34,#in56,#noncon,#nonHatm,RuleOfThree,Jm
100_0-wt-1,CCCCCCCCCCCC1=C(C)C(=O)C(=C(C)C1=O)O,0,0,0,0,0,11,2,-2,306.444,7.265,693.618,553.424,122.909,17.285,0,1194.826,1,4.75,0.0441708,0.0068482,0.7850812,34.765,10.584,15.188,6.059,3.95,-5.366,-3.911,-5.092,676.628,-1.429,324.323,-2.668,9.431,1.479,4,0.461,3,100,0,0,72.909,3,0,6,0,6,0,22,0,0.003
100_1-wt-1,CCCCCCCCCCCc1c(C)c([O])c(O)c(C)c1O,0,0,0,0,0,13,0,-2,308.46,1.725,686.637,544.206,109.914,32.518,0,1189.402,3,2.25,0.0025019,0.0056757,0.7906613,33.409,10.988,15.617,6.083,4.588,-5.297,-4.631,-5.074,898.646,-1.392,440.742,-2.183,8.611,-0.166,6,0.609,3,100,0,0,59.067,3,0,6,0,6,0,22,0,0.01
101_0-wt-1,OC1=CC(=O)C(=CC1=O)O,3,0,0,0,0,2,0,-2,140.095,2.995,306.004,0,220.929,85.075,0,457.358,2,5.5,0.0196079,0.0254185,0.9381561,11.678,5.206,9.858,10.442,-1.301,-0.449,-0.807,-2.938,79.585,-1.231,32.083,-5.1,10.055,1.781,2,-0.877,2,53.347,0,0,103.317,4,0,6,0,6,0,10,0,0.315
101_0-wt-1,OC1=CC(=O)C(=CC1=O)O,3,0,0,0,0,2,0,-2,140.095,2.927,306.149,0,220.737,85.412,0,458.013,2,5.5,0.0186993,0.0254065,0.9386082,11.707,5.219,9.856,10.444,-1.296,-0.45,-0.807,-2.933,79.918,-1.227,32.229,-5.095,10.257,1.857,2,-0.876,2,53.412,0,0,103.487,4,0,6,0,6,0,10,0,0.318
101_1-wt-1,[O]c1cc(O)c(O)cc1O,3,0,0,0,0,4,0,-2,142.111,0,312.15,0,203.841,108.309,0,467.229,4,3,0,0.0192216,0.9328716,11.01,5.753,10.79,10.525,-0.749,-0.225,-1.271,-3.135,115.578,-1.239,48.021,-4.511,8.364,0.001,4,-0.904,2,59.484,0,0,88.449,4,0,6,0,6,0,10,0,2.609
102_0-wt-1,OC1=C(Cl)C(=O)C(=C(Cl)C1=O)O,1,0,0,0,0,2,0,-1,208.985,2.862,347.955,0,192.573,25.599,129.784,540.588,2,5.5,0.0151482,0.022354,0.9223299,14.441,6.249,11.142,9.991,-0.169,-1.642,-1.821,-2.911,147.819,-0.748,322.018,-4.786,9.653,2.073,2,-0.769,3,64.788,0,0,98.909,4,0,6,0,6,0,12,0,0.085
102_1-wt-1,[O]c1c(O)c(Cl)c(O)c(O)c1Cl,1,0,0,0,0,4,0,-1,211.001,0.685,350.181,0,175.479,48.307,126.396,544.277,4,3,0.0008612,0.017134,0.9206304,13.521,6.742,12.048,10.059,0.27,-1.288,-2.395,-3.047,214.702,-0.748,461.892,-4.199,8.636,0.38,4,-0.77,2,70.26,0,0,83.59,4,0,6,0,6,0,12,0,0.686
102_1-wt-1,[O]c1c(O)c(Cl)c(O)c(O)c1Cl,0,0,0,0,0,4,0,-1,211.001,4.771,350.916,0,176.645,48.178,126.092,545.584,4,3,0.0417223,0.0170981,0.920174,13.572,6.757,12.629,10.068,0.267,-1.297,-2.395,-3.053,209.303,-0.759,447.634,-4.221,8.811,0.436,4,-0.768,2,70.048,0,0,84.22,4,0,6,0,6,0,12,0,0.639
103_0-wt-1,O=C1C=C(N2CCCCC2)C(=O)C=C1N3CCCCC3,1,0,0,0,0,0,0,0,274.362,1.043,542.494,421.557,82.238,38.699,0,956.657,0,6,0.0011376,0,0.8655143,32.501,7.996,13.464,7.757,2.09,-3.356,-2.547,-3.893,1644.53,-0.168,846.965,-2.899,8.754,1.5,0,-0.21,3,96.747,0,0,61.214,4,0,18,0,18,10,20,0,0.153
103_1-wt-1,[O]c1cc(N2CCCCC2)c(O)cc1N3CCCCC3,0,0,0,0,0,2,0,0,276.378,3.097,562.279,428.863,86.467,46.95,0,975.247,2,3.5,0.0098361,0.008803,0.8458424,32.04,8.646,14.889,7.915,3.331,-4.791,-3.777,-4.25,1499.466,-0.363,766.508,-2.756,8.658,0.106,2,0.44,3,100,0,0,50.376,4,0,18,0,18,10,20,0,0.008
103_1-wt-1,[O]c1cc(N2CCCCC2)c(O)cc1N3CCCCC3,1,0,0,0,0,2,0,0,276.378,0.663,563.308,428.343,85.86,49.105,0,975.687,2,3.5,0.0004504,0.0087869,0.8445518,32.078,8.657,14.77,7.928,3.34,-4.809,-3.777,-4.281,1519.469,-0.36,777.566,-2.737,8.397,0.045,2,0.441,3,100,0,0,50.976,4,0,18,0,18,10,20,0,0.008
103_1-wt-1,[O]c1cc(N2CCCCC2)c(O)cc1N3CCCCC3,0,0,0,0,0,2,0,0,276.378,3.513,564.811,431.902,87.55,45.359,0,978.186,2,3.5,0.0126183,0.0087635,0.8437415,32.142,8.665,14.96,7.918,3.34,-4.835,-3.777,-4.277,1464.418,-0.377,747.161,-2.781,8.43,-0.001,2,0.447,3,100,0,0,50.86,4,0,18,0,18,10,20,0,0.007
104_0-wt-1,COC(=O)C1=C(Cl)C(=O)C=CC1=O,2,0,0,0,0,1,1,-1,200.578,3.503,392.059,97.393,152.282,86.826,55.558,616.321,0,6,0.019905,0,0.8933427,18.698,5.958,9.569,7.998,-0.346,-0.851,-0.909,-3.672,356.294,-0.633,326.78,-3.924,10.358,2.349,0,-1.24,2,70.59,0,0,90.245,4,0,6,0,6,0,13,0,6.217
104_1-wt-1,COC(=O)c1c(O)ccc([O])c1Cl,0,0,0,0,0,3,1,-1,202.594,6.788,397.806,95.943,139.783,106.021,56.059,625.182,1,2.5,0.0737088,0.0062845,0.8888557,17.952,6.292,9.505,5.633,2.021,-2.407,-2.672,-3.836,468.094,-0.659,441.683,-3.434,9.062,0.541,2,-0.275,3,86.573,0,0,76.507,4,0,6,0,6,0,13,0,0.277
104_1-wt-1,COC(=O)c1c(O)ccc([O])c1Cl,0,0,0,0,0,3,1,-1,202.594,6.899,397.702,96.19,140.977,105.568,54.966,624.706,1,2.5,0.0761794,0.0062861,0.8886381,17.929,6.282,9.53,5.638,2.009,-2.403,-2.672,-3.837,456.053,-0.673,423.537,-3.458,8.882,0.487,2,-0.277,3,86.3,0,0,76.568,4,0,6,0,6,0,13,0,0.267
